ISBN;EAN;ASIN;Eigenschaft;Class;AX;BX;Autor;Titel;Seiten;Verlag;Bindung;Listenpreis;Datum;Translator;Orginaltitel;Sprache;Orginalsprache;Reihe;Thema;Buchart;Ersterscheinung;Standort;Auflage;Inhalt;Buchnummer;dnb-idns
;978.0;;8401089;Original;;Arndt, Paul;"Arndt, Paul (Einl.); Schanz, Frida u. Pauline;Trojan, Johannes; Winkelmann, Elise";Das sprechende Bilderbuch;17.0;Theodor Brand, Sonneberg;Töne(8);250,00 €;1880 ++;;;Deutsch;;;Hahn, Henne,Esel, Lamm, Vogel, Nest, Kuh, Kinder, Kuckuck,Ziegenbock, Hund, Boot;;3;;4.;In dem Buch werden 8 Bauernhoftiere mit je einem chromolitografischen Bild in  ihrer natürlichen Umgebung in einfachen  7 - 10 zeigen Versen vorgestellt. Im Anhang ist ein 4 cm hoher Holzkasten mit seitlichen stuckartigen verzierungen aus dem acht Schüre;4244.0;[]
;978.0;;8455201;Original;;-;"Stanovsky, V. (Text); Kibasta, V. (Ill.)";Von der kleinen Mette   - Janies Abenteuer bei den Zwergen;44.0;Artia;Kein Pop-up;10,70 €;1967;;;Deutsch;;Märchen aus aller Welt;Dorf, Prinz, Schäferin,Pferde, König, Kutsche,Geisterschloss,Zwerge, Hund, Weinglas;;3;;;;4243.0;[]
;978.0;;206210;Übersetzung USA;;N.N.;Disney, Walt;Donald Duck in der Geisterstad;10.0;Favorit, Rastatt;180°(10), Hebel. (4);18,30 €;1977;;;Deutsch;;Zwei-Seiten-Panorama;Donald Duck, Dagobert, Neffen, Büro,Auto, Westernstadt,Treppe, Statue, Gespenst, Bibliothek, Eisenbh;;2;6 - 2;;Donald Duck, seine 3 Neffen und Dagobert fahren mit einer Schatzharte nach Golden City, wo sie Oma Duck treffen, die ihr Haus mit einem Gewehr verteidigt.Über eine Geheimtür treffen sie auf einen Tunnel, durch den der Dieb mit dem Gold entschwunden ist.Ha;4242.0;[]
3407803702;978.0;3407803702;9153;;;-;"Pacovská, Kveta(Ill.); Schwarz Annelies (Text)";Das Tier mit den Funkelaugen;32.0;Beltz & Gelberg;kein Pop-up;5,68 €;1990;;;Deutsch;;;Tier, Fantasie, Kind Rikki, BettTraum;;2;3 - 4;;"Rikki wünscht sich ein Tier, dass fliegen, Schwimmen, Tauchen und groß und klein werden kann. Obwohl die Eltern bestreiten, dass es so ein Tier gibt, lebt es in dem Buch. hardcover

Das Buch ist noch sehr gut erhalten, vielleicht etwas abgegriffen. Ohne";4241.0;['900649100']
;978.0;;66689;;;N:N.;"Eichelberger, Ursula; Zucker, Gertrud";Besuch bei Jitka;10.0;Junge Welt, Berlin;180°(1), Henkel (2);14,49 €;1978;;;Deutsch;;Kofferbücher;Prag, Löwe, Karlsbrücke,Hochzeit, Kinder, Uhr, Theater, Clown, Straßenbahn, Blaskapelle, Mond;;2;6 - 1;1.;"Jitka kommt aus Prag und erzählt, was in ihrer Heimat Tscheslowakei,  wichtig ist. Sie ist stolz auf die Karlsbrücke und das Nationalwappen, den Löwen. die Stadtuhr, das Theater und die Straßenbahn.Kunststoffrücken.

Das Buch ist etwas bestoßen, sonst a";4240.0;[]
3865661815;9783865661814.0;3865661815;8495393;;;Schenker, Sybille;"Jacob und Wilhelm Grimm(Text); Schenker, Sybille (Ill.)";Rotkäppchen;32.0;minedition;Kein Pop-up: Fenster( (7);12,36 €;2014;;;Deutsch;;;Rotkäppchen, Muter, Großmutter, Wald, Wolf, Jäger, Blumen, Hund;;1;6 - 6;;"Es wird das Märchen nach dem text der Brüder Grimm erzählt und mit scherenschnittartigen Bildern und ""Fenster"" begleitet.Auf der Titelseite ist der Titel als Aussparung zu lesen.  Fadenbindung. Schutzumschlag.

Das Buch ist neu. - 1";4239.0;['1033857998']
3865661238;9783865661234.0;3865661238;8396837;;;-;" Perrault, Charles(Text); Pacovska, Kveta (Ill.)";Aschenputtel;32.0;Medition;Kein Pop-up;EUR 19,95;2010;;;Deutsch;;;Aschenputtel, Kürbis, Kutsche, Schuh;;1;3 - 4;;"In dem klassischen Märchen bringt ein gläserner Pantoffel den Königssohn auf die Spur seiner Angebeteten, die von der Mutter und Schwester sehr schlecht behandelt wird. Schutzumschlag

Das Buch ist neu. - 1";4238.0;['1001659864']
3865661838;9783865661838.0;;8659078;;;Pacovska, Kveta;"Sergei  Prokofiev; Pacovska, Kveta";Peter und der Wolf;28.0;minedition;"Kein Pop-up; Fenster (2)";6,52 €;2013;;;Deutsch;;;Junge, Vogel, Ente, Katze, Baum, Wolf, Jäger;;1;3 - 4;;"Angaben aus der Verlagsmeldung 
 Peter und der Wolf  / von Sergeij Prokofiev, Kveta Pacovska
Peter und der Wolf ist das Musikwerk, dass jedem Kind in der Schule begegnet. Es ist eine spannende Geschichte und Instrumentenkunde zugleich. Den Zuhörern wird";4237.0;['1033858005']
1857077384;9781857077384.0;;17;;;N.N.;"Lodge, Yvette(Text); Lawson, Peter (Ill.)";My first school bag;10.0;Tango;90°(4);6,52 €;2009;;;English;;;Schultasche, Buntstifte,Taschenrechner,Muffin, Limo, Lineal, Dreieck, Stickers,;;1;Gr. Karton;;"In der Form eines Schulrucksacks zeigt das Buch auf, was für den Unterricht notwedig sein soll.Hefte, Pinsel und ein Schreibgerät sind nur in Abbildungen zu finden.Handtrageriemen un und Druckknofklappe.

Das Buch ist wie neu und sehr gutr erhalten. - 1";4236.0;[]
3480141811;978.0;;8422530;Übersetzung US;;N.N.;Fowler, Richard;Am Strand;10.0;J.F. Schreiber;90°(14), Leporello;4,00 €;1984;;;Deutsch;;Pack die Geschichte aus!;Strand, Surfbrett, Sand, Möwen. Wasserball, Wasserski, Segelboot, Kiosk;;3;9 - 6;;"Das Buch stellt ausgeklappt einen ganzen Strand mit vielen leuten und begebenheiten. den jungen Lesern werden kleine Suchaufgaben gestellt.

Das Buch ist noch recht gut erhalten, allerdings etwas bestoßen. Die Schließlasche ist etwas eingerissen. Kein E";4235.0;['870436546']
